date,regn,Assets,Loans_Total_Net,Loans_LLP,Equity,Net_Income_Current,Client_Deposits,Net_Interest_Income,month,flag_equity_negative,flag_loans_negative,flag_deposits_negative,flag_assets_negative,flag_llp_exceeds_net,flag_llp_positive_sign,profit_month,profit_12m,equity_avg_13,equity_any_neg_in_window,ROE_12m,ROE_12m_flow_check,loans_avg_Q,loans_any_neg_in_Q,LoanYield_3m,Loans_Gross,LDR,flag_roe_outlier,flag_yield_outlier,flag_ldr_outlier
2024-11-01,bank_14,1246444.0,790843.9,-32224.0,65115.9,6622.1,938565.0,,11,False,False,False,False,False,False,1705.2000000000007,7116.699999999999,67039.36153846154,False,0.10615703724918436,0.7051663219208646,768910.25,False,,823067.9,0.8769428862145936,False,False,False
2024-12-01,bank_14,1233892.7,765819.0,-31377.8,66698.7,7196.3,884176.7,,12,False,False,False,False,False,False,574.1999999999998,7495.8,66935.86923076924,False,0.111984801066187,0.6746890795472084,777440.0,False,,797196.8,0.9016261116132105,False,False,False
2025-01-01,bank_14,1213766.4,734449.8,-30741.3,70256.4,10173.9,892294.3,1385.6,1,False,False,False,False,False,False,2977.5999999999995,10173.9,67000.40000000001,False,0.1518483471740467,0.682473537471418,770268.475,False,0.0071954132615903825,765191.1000000001,0.857554620712023,False,False,False
2025-02-01,bank_14,1192610.9,722730.8,-30692.3,69659.7,281.5,922922.6,,2,False,False,False,False,False,False,281.5,9989.199999999999,66946.77692307692,False,0.14921106674751158,0.6802612775866387,753460.875,False,,753423.1000000001,0.8163448375844303,False,False,False
2025-03-01,bank_14,1119337.3,710287.2,-30919.8,71065.5,552.3,911832.7,,3,False,False,False,False,False,False,270.79999999999995,10133.099999999999,67046.73846153847,False,0.15113486848898516,0.6786385295401279,733321.7000000001,False,,741207.0,0.8128760900985456,False,False,False
2025-04-01,bank_14,1091151.3,692073.7,-31289.8,72064.2,1424.9,908660.1,916.5,4,False,False,False,False,False,False,872.6000000000001,10568.0,67258.94615384616,False,0.1571240794618914,0.6823568108697693,714885.375,False,0.005128094836182654,723363.5,0.7960771029783305,False,False,False
2025-05-01,bank_14,1107924.8,714852.9,-30380.7,72296.8,1565.5,941290.1,,5,False,False,False,False,False,False,140.5999999999999,10603.3,67504.88461538461,False,0.15707455927690703,0.6862318225404772,709986.1499999999,False,,745233.6,0.7917151152444927,False,False,False
2025-06-01,bank_14,1127017.2,724161.2,-30477.8,72973.4,1773.6,965670.8,,6,False,False,False,False,False,False,208.0999999999999,10240.7,68109.24615384615,False,0.15035697175194335,0.6811233807405795,710343.75,False,,754639.0,0.7814661062548437,False,False,False
2025-07-01,bank_14,1102251.6,721790.5,-32895.7,75073.4,2974.8,949558.2,639.7,7,False,False,False,False,False,False,1201.2000000000003,9934.5,68926.86153846154,False,0.14413103655468917,0.6695705994715468,713219.575,False,0.0035876749456855562,754686.2,0.7947761390507712,False,False,False
2025-08-01,bank_14,1131173.5,729415.4,-32797.6,77748.4,4554.2,976097.4,,8,False,False,False,False,False,False,1579.3999999999996,10557.099999999999,69830.06923076922,False,0.151182722805439,0.6663977354256362,722555.0,False,,762213.0,0.7808780148374537,False,False,False
2025-09-01,bank_14,1106701.9,723178.0,-33476.4,77053.6,4641.5,962619.1,,9,False,False,False,False,False,False,87.30000000000018,10316.8,70759.46153846153,False,0.14580099644190014,0.6596644319378872,724636.2749999999,False,,756654.4,0.78603717711398,False,False,False
2025-10-01,bank_14,1085846.7,743085.8,-33394.3,78757.3,6931.8,909413.2,2344.7,10,False,False,False,False,False,False,2290.3,12188.8,71821.91538461538,False,0.16970864581830553,0.6779601983495718,729367.425,False,0.012858813923585906,776480.1000000001,0.8538254118150035,False,False,False
2025-11-01,bank_14,1164707.9,804634.1,-33618.0,79753.9,7933.2,1001740.4,,11,False,False,False,False,False,False,1001.3999999999996,11485.0,72962.86153846154,False,0.15740884825283083,0.6853281100226754,750078.325,False,,838252.1,0.8367957406928981,False,False,False
2025-12-01,bank_14,1443987.1,811286.2,-31875.5,80571.8,9087.4,1187479.6,,12,False,False,False,False,False,False,1154.1999999999998,12064.999999999998,74151.77692307692,False,0.1627068224206671,0.6998429727966476,770546.025,False,,843161.7,0.7100431030562545,False,False,False
2026-01-01,bank_14,1210376.4,782104.6,-35082.4,83447.9,11584.1,1027888.8,4595.3,1,False,False,False,False,False,False,2496.7000000000007,11584.1,75440.17692307691,False,0.15355345748740498,0.7065837087624093,785277.675,False,0.02340726164155883,817187.0,0.7950149860568575,False,False,False
2020-01-01,bank_15,1116624.0,692657.2,-22186.4,151393.9,32801.3,841632.8,13950.7,1,False,False,False,False,False,False,,,,False,,,,False,,714843.6,0.8493533046715859,False,False,False
2020-02-01,bank_15,1083278.4,695535.9,-22311.4,153379.0,3138.9,825919.9,,2,False,False,False,False,False,False,3138.9,,,False,,,,False,,717847.3,0.869148812130571,False,False,False
2020-03-01,bank_15,1142068.1,711666.0,-22985.5,155239.6,4388.0,881002.9,,3,False,False,False,False,False,False,1249.1,,,False,,,,False,,734651.5,0.8338809100401372,False,False,False
2020-04-01,bank_15,1269226.3,741071.5,-29346.3,154605.1,3722.6,987873.5,13911.5,4,False,False,False,False,False,False,-665.4000000000001,,,False,,,710232.65,False,0.07834897480424197,770417.8,0.7798749536251353,False,False,False
2020-05-01,bank_15,1178113.0,747406.3,-27525.8,158950.2,8027.4,904214.1,,5,False,False,False,False,False,False,4304.799999999999,,,False,,,723919.925,False,,774932.1000000001,0.8570228002416685,False,False,False
2020-06-01,bank_15,1114812.6,734466.7,-28754.8,159354.1,8312.1,851470.2,,6,False,False,False,False,False,False,284.7000000000007,,,False,,,733652.625,False,,763221.5,0.8963572653511539,False,False,False
2020-07-01,bank_15,1137235.2,724901.6,,163542.4,12438.1,879286.1,13597.5,7,False,False,False,False,False,False,4126.0,,,False,,,736961.5249999999,False,0.07380303876786513,,,False,False,False
2020-08-01,bank_15,1157759.4,717595.7,-30223.2,166212.6,15514.6,881236.5,,8,False,False,False,False,False,False,3076.5,,,False,,,731092.575,False,,747818.8999999999,0.8486018225527425,False,False,False
2020-09-01,bank_15,1189233.6,710761.0,-31362.4,168552.9,17949.6,915523.7,,9,False,False,False,False,False,False,2434.999999999998,,,False,,,721931.25,False,,742123.4,0.8105998785176179,False,False,False
2020-10-01,bank_15,1250312.4,719372.3,-30346.2,155774.5,21804.1,978172.3,13113.1,10,False,False,False,False,False,False,3854.5,,,False,,,718157.6499999999,False,0.07303744519048151,749718.5,0.766448303637304,False,False,False
2020-11-01,bank_15,1229979.5,734658.4,-29655.8,159832.8,25871.8,956094.0,,11,False,False,False,False,False,False,4067.7000000000007,,,False,,,720596.8500000001,False,,764314.2000000001,0.799413237610528,False,False,False
2020-12-01,bank_15,1237829.4,728946.8,-30713.0,160572.4,26515.3,979851.3,,12,False,False,False,False,False,False,643.5,,,False,,,723434.625,False,,759659.8,0.775280698203901,False,False,False
2021-01-01,bank_15,1268105.4,722546.7,-29695.5,148073.1,32141.8,999778.1,13256.8,1,False,False,False,False,False,False,5626.5,32141.8,158114.04615384617,False,0.20328238244390878,1.1373075597915545,726381.05,False,0.07300190444120203,752242.2,0.7524091595925135,False,False,False
2021-02-01,bank_15,1241690.2,708428.1,-30600.0,148651.1,1219.7,997747.7,,2,False,False,False,False,False,False,1219.7,30222.6,157903.06153846154,False,0.1913997088184289,1.1266728983381136,723645.0,False,,739028.1,0.740696370435131,False,False,False
2021-03-01,bank_15,1239709.2,706149.5,-30857.8,149496.7,2176.8,990827.3,,3,False,False,False,False,False,False,957.1000000000001,29930.6,157604.42307692306,False,0.18990964476543634,1.114777723682589,716517.7749999999,False,,737007.3,0.743830231565077,False,False,False
2021-04-01,bank_15,1257621.1,727132.0,-30535.3,153062.2,5785.5,1002726.3,12238.1,4,False,False,False,False,False,False,3608.7,34204.7,157436.93076923076,False,0.2172596977905829,1.129066726158133,716064.075,False,0.0683631559089178,757667.3,0.7556072878511315,False,False,False
2021-05-01,bank_15,1256363.6,770211.6,-29531.9,133087.2,10083.0,1023530.9,,5,False,False,False,False,False,False,4297.5,34197.399999999994,155781.70769230768,False,0.21952128081395156,1.1542587551752646,727980.2999999999,False,,799743.5,0.78135745584232,False,False,False
2021-06-01,bank_15,1272898.1,780815.4,-29783.1,135159.3,12162.8,1026151.5,,6,False,False,False,False,False,False,2079.7999999999993,35992.5,153951.63846153847,False,0.2337909512342862,1.192992174915269,746077.125,False,,810598.5,0.7899403743014555,False,False,False
2021-07-01,bank_15,1258887.5,766353.8,-29450.5,137722.8,14757.0,1022259.7,13261.8,7,False,False,False,False,False,False,2594.2000000000007,34460.7,152287.6923076923,False,0.22628683564508467,1.2212543061210057,761128.2,False,0.06969548625316997,795804.3,0.7784756652345779,False,False,False
2021-08-01,bank_15,1304497.0,797800.5,-30218.1,141965.5,18991.0,1060857.0,,8,False,False,False,False,False,False,4234.0,35618.2,150627.93076923076,False,0.2364647766061979,1.2577906304127577,778795.325,False,,828018.6,0.7805185807323701,False,False,False
2021-09-01,bank_15,1309722.1,806640.4,-29647.9,145190.3,22204.9,1053357.7,,9,False,False,False,False,False,False,3213.9000000000015,36397.100000000006,149010.83076923076,False,0.2442580838728915,1.2999974498497993,787902.525,False,,836288.3,0.7939262227826313,False,False,False
